,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
0,[],[],"['Licensors: None found, add some']",['Favorites: 207'],['Popularity: #3303'],"['Score: 7.221 (scored by 11,343 users)']"
1,"['Genres: Adventure, Drama, Romance, Sci-Fi']",['Broadcast: Unknown'],['Licensors: Discotek Media'],['Favorites: 27'],['Popularity: #7494'],"['Score: 7.221 (scored by 2,764 users)']"
2,"['Genres: Comedy, Romance, Sci-Fi']",['Broadcast: Fridays at 00:55 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 843'],['Popularity: #1463'],"['Score: 7.221 (scored by 20,208 users)']"
3,"['Genres: Comedy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 77'],['Popularity: #3963'],"['Score: 7.221 (scored by 10,247 users)']"
4,[],[],"['Licensors: None found, add some']",['Favorites: 17'],['Popularity: #6343'],"['Score: 7.221 (scored by 3,093 users)']"
5,"['Genres: Action, Sci-Fi']",['Broadcast: Thursdays at 01:45 (JST)'],['Licensors: Funimation'],['Favorites: 538'],['Popularity: #1744'],"['Score: 7.221 (scored by 46,199 users)']"
6,"['Genres: Fantasy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 4'],['Popularity: #7763'],"['Score: 7.221 (scored by 2,083 users)']"
7,[],['Broadcast: Fridays at 02:16 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 142'],['Popularity: #2130'],"['Score: 7.221 (scored by 34,564 users)']"
8,"['Genres: Action, Comedy, Fantasy']",['Broadcast: Saturdays at 18:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,103']",['Popularity: #944'],"['Score: 7.221 (scored by 132,683 users)']"
9,"['Genres: Action, Adventure, Supernatural']",[],['Licensors: Funimation'],['Favorites: 9'],['Popularity: #5382'],"['Score: 7.221 (scored by 4,949 users)']"
10,[],[],['Licensors: Aniplex of America'],['Favorites: 597'],['Popularity: #1008'],"['Score: 7.221 (scored by 91,724 users)']"
11,"['Genres: Adventure, Boys Love, Drama, Fantasy']",['Broadcast: Unknown'],['Licensors: Funimation'],['Favorites: 962'],['Popularity: #1925'],"['Score: 7.211 (scored by 36,949 users)']"
12,"['Genres: Sci-Fi, Sports']",['Broadcast: Fridays at 01:25 (JST)'],['Licensors: Maiden Japan'],['Favorites: 183'],['Popularity: #2992'],"['Score: 7.211 (scored by 18,050 users)']"
13,"['Genres: Action, Comedy, Gourmet']",['Broadcast: Sundays at 02:20 (JST)'],['Licensors: Funimation'],"['Favorites: 1,129']",['Popularity: #676'],"['Score: 7.211 (scored by 161,967 users)']"
14,"['Genres: Adventure, Fantasy']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #10687'],['Score: 7.211 (scored by 714 users)']
15,[],[],"['Licensors: None found, add some']",['Favorites: 39'],['Popularity: #6033'],"['Score: 7.211 (scored by 4,485 users)']"
16,"['Genres: Action, Adventure, Romance, Sci-Fi']",['Broadcast: Mondays at 20:30 (JST)'],['Licensors: Discotek Media'],['Favorites: 66'],['Popularity: #5976'],"['Score: 7.211 (scored by 3,229 users)']"
