,anime name,link_to_anime_page
0,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
1,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
2,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate
3,Gintama°,https://myanimelist.net/anime/28977/Gintama%C2%B0
4,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
5,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final
7,Gintama',https://myanimelist.net/anime/9969/Gintama
8,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen
10,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
11,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
12,Gintama.,https://myanimelist.net/anime/34096/Gintama
13,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
14,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock
15,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story
16,Gintama,https://myanimelist.net/anime/918/Gintama
17,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi
18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
19,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
20,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
21,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
23,Monster,https://myanimelist.net/anime/19/Monster
24,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
25,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai
26,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
27,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
28,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
29,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
30,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
