,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
0,"['Genres: Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 16'],['Popularity: #6287'],"['Score: 7.021 (scored by 1,904 users)']"
1,"['Genres: Comedy, Romance']",['Broadcast: Tuesdays at 01:35 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 52'],['Popularity: #3049'],"['Score: 7.021 (scored by 19,452 users)']"
2,"['Genres: Comedy, Romance, Sports']",['Broadcast: Sundays at 19:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #7863'],"['Score: 7.021 (scored by 1,052 users)']"
3,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #12769'],['Score: 7.021 (scored by 462 users)']
4,"['Genres: Comedy, Drama, Romance, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #9770'],['Score: 7.021 (scored by 632 users)']
5,"['Genres: Comedy, Romance, Supernatural, Ecchi']",[],['Licensors: Discotek Media'],['Favorites: 7'],['Popularity: #4806'],"['Score: 7.021 (scored by 8,305 users)']"
6,"['Genres: Comedy, Drama']",[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #8431'],"['Score: 7.021 (scored by 1,631 users)']"
7,"['Genres: Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 37'],['Popularity: #6564'],"['Score: 7.081 (scored by 2,234 users)']"
8,"['Genres: Fantasy, Romance']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],['Favorites: 743'],['Popularity: #1445'],"['Score: 7.021 (scored by 63,018 users)']"
9,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 14'],['Popularity: #8685'],"['Score: 7.021 (scored by 1,057 users)']"
10,[],[],['Licensors: Discotek Media'],['Favorites: 98'],['Popularity: #3524'],"['Score: 7.021 (scored by 7,417 users)']"
