,anime name,link_to_anime_page,anime_type,anime_aired,anime_members
0,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,088,738 members"
1,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"388,119 members"
2,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,379,223 members"
3,Gintama°,https://myanimelist.net/anime/28977/Gintama%C2%B0,TV (51 eps),Apr 2015 - Mar 2016,"577,775 members"
4,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,TV (13 eps),Apr 2022 - Jun 2022,"755,828 members"
5,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV (10 eps),Apr 2019 - Jul 2019,"2,023,134 members"
6,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,Movie (1 eps),Jan 2021 - Jan 2021,"124,168 members"
7,Gintama',https://myanimelist.net/anime/9969/Gintama,TV (51 eps),Apr 2011 - Mar 2012,"509,574 members"
8,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV (148 eps),Oct 2011 - Sep 2014,"2,575,958 members"
9,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"301,084 members"
10,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"297,999 members"
11,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,TV (13 eps),Apr 2021 - Jun 2021,"406,714 members"
12,Gintama.,https://myanimelist.net/anime/34096/Gintama,TV (12 eps),Jan 2017 - Mar 2017,"289,183 members"
13,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,Movie (1 eps),Dec 2022 - Dec 2022,"87,509 members"
14,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,TV (22 eps),Oct 2017 - Mar 2018,"374,082 members"
15,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,TV (12 eps),Oct 2022 - Dec 2022,"317,517 members"
16,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,TV (24 eps),Oct 2008 - Mar 2009,"1,128,679 members"
17,Gintama,https://myanimelist.net/anime/918/Gintama,TV (201 eps),Apr 2006 - Mar 2010,"1,000,984 members"
18,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"2,125,680 members"
19,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Movie (1 eps),Jul 2013 - Jul 2013,"223,564 members"
20,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,TV (25 eps),Apr 2008 - Sep 2008,"1,660,445 members"
21,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Movie (1 eps),Sep 2020 - Sep 2020,"516,364 members"
22,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,TV (7 eps),Aug 2017 - Aug 2017,"370,894 members"
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"179,248 members"
24,Monster,https://myanimelist.net/anime/19/Monster,TV (74 eps),Apr 2004 - Sep 2005,"959,745 members"
25,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Movie (1 eps),Aug 2016 - Aug 2016,"2,522,717 members"
26,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,"1,135,588 members"
27,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,TV (26 eps),Apr 2020 - Oct 2021,"85,987 members"
28,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"193,561 members"
29,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,TV (13 eps),Jan 2019 - Apr 2019,"1,382,416 members"
30,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,TV (16 eps),Dec 2020 - Mar 2021,"1,771,104 members"
