,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
0,"['Genres: Action, Supernatural']",['Broadcast: Thursdays at 08:00 (JST)'],['Licensors: Maiden Japan'],['Favorites: 174'],['Popularity: #1889'],"['Score: 6.901 (scored by 46,286 users)']"
1,"['Genres: Adventure, Sci-Fi, Sports']",['Broadcast: Fridays at 18:30 (JST)'],"['Licensors: Discotek Media, Geneon Entertainment USA']",['Favorites: 33'],['Popularity: #6137'],"['Score: 6.911 (scored by 3,234 users)']"
2,[],[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #10860'],"['Score: 6.901 (scored by 1,063 users)']"
3,"['Genres: Action, Drama, Sci-Fi']",[],['Licensors: Sentai Filmworks'],['Favorites: 14'],['Popularity: #5463'],"['Score: 6.901 (scored by 4,370 users)']"
4,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #10807'],['Score: 6.901 (scored by 995 users)']
5,"['Genres: Adventure, Comedy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 0'],['Popularity: #9457'],"['Score: 6.901 (scored by 1,289 users)']"
6,[],[],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #10940'],['Score: 6.901 (scored by 504 users)']
7,[],[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #6395'],"['Score: 6.901 (scored by 1,825 users)']"
8,"['Genres: Action, Adventure, Fantasy']",['Broadcast: Unknown'],['Licensors: Saban Entertainment'],['Favorites: 17'],['Popularity: #7191'],"['Score: 6.911 (scored by 1,513 users)']"
9,"['Genres: Comedy, Ecchi']",[],['Licensors: Sentai Filmworks'],['Favorites: 20'],['Popularity: #3421'],"['Score: 6.891 (scored by 15,865 users)']"
10,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 35'],['Popularity: #7052'],"['Score: 6.901 (scored by 3,394 users)']"
11,[],[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #8233'],"['Score: 6.901 (scored by 1,256 users)']"
12,"['Genres: Boys Love, Comedy']",[],['Licensors: Nozomi Entertainment'],['Favorites: 75'],['Popularity: #3579'],"['Score: 6.901 (scored by 18,010 users)']"
13,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #12499'],['Score: 6.901 (scored by 426 users)']
14,[],[],['Licensors: Funimation'],['Favorites: 256'],['Popularity: #2627'],"['Score: 6.901 (scored by 18,316 users)']"
