anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by,anime_season_aired,anime_year_aired
Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,3088738,"Action, Adventure, Drama, Fantasy",Sundays at 17:00 (JST),"Funimation, Aniplex of America",213309,3,9.111,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,1963910,spring,2009 
Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,388119,"Action, Adventure, Fantasy",Tuesdays at 00:00 (JST),VIZ Media,15729,526,9.101,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,170485,fall,2022 
Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,2379223,"Drama, Sci-Fi, Suspense",Wednesdays at 02:05 (JST),Funimation,179519,13,9.081,https://myanimelist.net/anime/9253/Steins_Gate,1304594,spring,2011 
Gintama°,TV (51 eps),Apr 2015 - Mar 2016,577775,"Action, Comedy, Sci-Fi",Wednesdays at 18:00 (JST),"Funimation, Crunchyroll",15534,337,9.071,https://myanimelist.net/anime/28977/Gintama%C2%B0,231368,spring,2015 
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,755828,"Comedy, Romance",Saturdays at 00:00 (JST),Aniplex of America,27176,226,9.071,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,404798,spring,2022 
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,2023134,"Action, Drama",Mondays at 00:10 (JST),Funimation,53991,27,9.061,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,1417541,spring,2019 
Gintama',TV (51 eps),Apr 2011 - Mar 2012,509574,"Action, Comedy, Sci-Fi",Mondays at 18:00 (JST),"None found, add some",7548,384,9.041,https://myanimelist.net/anime/9969/Gintama,220569,spring,2011 
Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,2575958,"Action, Adventure, Fantasy",Sundays at 10:55 (JST),VIZ Media,195375,10,9.041,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,1600843,fall,2011 
Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,301084,"Action, Comedy, Sci-Fi",Thursdays at 18:00 (JST),"None found, add some",2926,712,9.031,https://myanimelist.net/anime/15417/Gintama__Enchousen,154043,fall,2012 
Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,406714,"Drama, Romance, Supernatural",Tuesdays at 01:30 (JST),Funimation,18215,497,9.011,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,198206,spring,2021 
Gintama.,TV (12 eps),Jan 2017 - Mar 2017,289183,"Action, Comedy, Sci-Fi",Mondays at 01:35 (JST),"None found, add some",2607,745,8.991,https://myanimelist.net/anime/34096/Gintama,134591,winter,2017 
3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,374082,"Drama, Slice of Life",Saturdays at 23:00 (JST),Aniplex of America,14676,549,8.941,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,186460,fall,2017 
