,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
0,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,088,738 members","['Genres: Action, Adventure, Drama, Fantasy']",['Broadcast: Sundays at 17:00 (JST)'],"['Licensors: Funimation, Aniplex of America']","['Favorites: 213,309']",['Popularity: #3'],"['Score: 9.111 (scored by 1,963,910 users)']",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
1,Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"388,119 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Tuesdays at 00:00 (JST)'],['Licensors: VIZ Media'],"['Favorites: 15,729']",['Popularity: #526'],"['Score: 9.101 (scored by 170,485 users)']",https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
2,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,379,223 members","['Genres: Drama, Sci-Fi, Suspense']",['Broadcast: Wednesdays at 02:05 (JST)'],['Licensors: Funimation'],"['Favorites: 179,519']",['Popularity: #13'],"['Score: 9.081 (scored by 1,304,594 users)']",https://myanimelist.net/anime/9253/Steins_Gate
3,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"577,775 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Wednesdays at 18:00 (JST)'],"['Licensors: Funimation, Crunchyroll']","['Favorites: 15,534']",['Popularity: #337'],"['Score: 9.071 (scored by 231,368 users)']",https://myanimelist.net/anime/28977/Gintama%C2%B0
4,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"755,828 members","['Genres: Comedy, Romance']",['Broadcast: Saturdays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 27,176']",['Popularity: #226'],"['Score: 9.071 (scored by 404,798 users)']",https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
5,Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,023,134 members","['Genres: Action, Drama']",['Broadcast: Mondays at 00:10 (JST)'],['Licensors: Funimation'],"['Favorites: 53,991']",['Popularity: #27'],"['Score: 9.061 (scored by 1,417,541 users)']",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
6,Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,"124,168 members","['Genres: Action, Comedy, Drama, Sci-Fi']",[],['Licensors: Eleven Arts'],"['Favorites: 3,954']",['Popularity: #1592'],"['Score: 9.051 (scored by 59,409 users)']",https://myanimelist.net/anime/39486/Gintama__The_Final
7,Gintama',TV (51 eps),Apr 2011 - Mar 2012,"509,574 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 18:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 7,548']",['Popularity: #384'],"['Score: 9.041 (scored by 220,569 users)']",https://myanimelist.net/anime/9969/Gintama
8,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,575,958 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Sundays at 10:55 (JST)'],['Licensors: VIZ Media'],"['Favorites: 195,375']",['Popularity: #10'],"['Score: 9.041 (scored by 1,600,843 users)']",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"301,084 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Thursdays at 18:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,926']",['Popularity: #712'],"['Score: 9.031 (scored by 154,043 users)']",https://myanimelist.net/anime/15417/Gintama__Enchousen
